iter	Passed	Remaining
0	151	151780
1	155	77836
2	160	53313
3	164	41036
4	170	34023
5	176	29217
6	180	25573
7	185	23002
8	190	21025
9	195	19360
10	200	18010
11	204	16861
12	209	15899
13	214	15096
14	218	14344
15	222	13697
16	227	13159
17	231	12639
18	235	12162
19	240	11766
20	243	11374
21	248	11031
22	252	10745
23	257	10456
24	261	10214
25	265	9954
26	269	9722
27	273	9498
28	277	9307
29	282	9134
30	286	8950
31	291	8816
32	295	8651
33	299	8503
34	303	8363
35	307	8223
36	311	8106
37	315	7992
38	320	7896
39	324	7794
40	329	7698
41	333	7604
42	337	7513
43	343	7454
44	348	7391
45	352	7311
46	356	7236
47	361	7176
48	366	7117
49	373	7089
50	377	7033
51	384	7015
52	390	6976
53	394	6917
54	399	6859
55	404	6812
56	409	6773
57	413	6720
58	418	6677
59	423	6627
60	426	6564
61	429	6493
62	432	6429
63	434	6359
64	437	6299
65	440	6236
66	443	6172
67	446	6115
68	448	6057
69	451	6000
70	454	5949
71	457	5892
72	460	5842
73	462	5789
74	465	5740
75	468	5701
76	471	5652
77	474	5608
78	477	5566
79	480	5521
80	483	5481
81	485	5438
82	487	5382
83	490	5348
84	493	5308
85	495	5268
86	498	5234
87	501	5196
88	504	5166
89	507	5131
90	510	5094
91	513	5063
92	515	5027
93	518	5001
94	522	4979
95	525	4953
96	528	4920
97	531	4893
98	534	4867
99	538	4845
100	541	4819
101	544	4795
102	548	4773
103	550	4745
104	553	4720
105	556	4693
106	559	4672
107	563	4652
108	566	4627
109	569	4605
110	571	4578
111	574	4558
112	577	4534
113	580	4511
114	583	4487
115	585	4464
116	587	4436
117	590	4414
118	593	4393
119	596	4371
120	599	4352
121	601	4328
122	604	4308
123	606	4287
124	609	4265
125	612	4247
126	613	4220
127	616	4196
128	618	4173
129	620	4150
130	621	4124
131	623	4098
132	624	4073
133	626	4051
134	628	4027
135	629	4002
136	631	3978
137	633	3956
138	635	3933
139	636	3910
140	638	3887
141	639	3861
142	641	3842
143	642	3821
144	644	3800
145	646	3779
146	647	3759
147	649	3739
148	651	3720
149	652	3700
150	654	3681
151	656	3664
152	658	3644
153	659	3625
154	661	3606
155	663	3589
156	665	3571
157	666	3552
158	668	3534
159	670	3517
160	671	3497
161	672	3480
162	674	3463
163	676	3446
164	677	3430
165	679	3414
166	681	3398
167	682	3382
168	684	3367
169	686	3352
170	688	3336
171	689	3320
172	691	3306
173	693	3291
174	695	3279
175	697	3265
176	699	3253
177	701	3238
178	702	3223
179	704	3209
180	706	3195
181	708	3182
182	709	3168
183	711	3155
184	713	3143
185	715	3130
186	717	3117
187	718	3104
188	720	3092
189	722	3079
190	724	3066
191	725	3054
192	727	3041
193	729	3029
194	730	3016
195	732	3004
196	733	2991
197	735	2980
198	737	2967
199	738	2955
200	740	2942
201	741	2931
202	743	2920
203	745	2908
204	747	2896
205	748	2885
206	750	2874
207	752	2863
208	753	2852
209	755	2841
210	757	2831
211	759	2821
212	760	2810
213	763	2802
214	765	2793
215	766	2782
216	768	2773
217	770	2763
218	772	2754
219	774	2745
220	776	2736
221	777	2726
222	779	2716
223	781	2706
224	783	2697
225	784	2687
226	786	2679
227	788	2668
228	789	2659
229	791	2649
230	792	2639
231	794	2630
232	796	2621
233	797	2611
234	799	2602
235	801	2593
236	802	2584
237	804	2574
238	805	2564
239	807	2555
240	809	2547
241	810	2538
242	812	2529
243	813	2520
244	815	2512
245	816	2503
246	818	2495
247	819	2486
248	821	2477
249	823	2470
250	824	2461
251	826	2453
252	827	2444
253	829	2436
254	831	2428
255	832	2420
256	834	2412
257	836	2404
258	837	2397
259	839	2389
260	841	2381
261	842	2373
262	844	2367
263	846	2359
264	847	2351
265	849	2343
266	850	2336
267	852	2328
268	854	2321
269	855	2313
270	857	2306
271	858	2298
272	860	2291
273	862	2284
